Thermocouple 0 (deg C)	Thermocouple 1 (deg C)	Thermocouple 2 (deg C)	Thermocouple 3 (deg C)
22.190	29.238	32.008	11.880
22.781	27.816	32.083	11.996
22.150	28.766	30.935	11.983
20.928	28.018	30.803	10.851
21.289	29.324	30.754	11.577
21.443	27.719	32.099	11.467
21.086	28.220	30.677	10.861
22.752	28.769	30.061	11.493
23.046	29.256	31.337	11.953
22.523	27.706	29.509	10.870
22.370	28.424	31.693	11.401
20.677	28.374	30.170	10.929
22.162	26.962	30.347	10.504
21.263	27.264	31.384	11.244
21.958	28.073	31.245	10.581
22.600	27.576	30.762	11.484
23.018	27.307	31.456	10.954
21.612	29.076	30.509	10.944
20.990	27.796	29.666	10.586
21.499	26.584	30.780	10.536
20.673	26.904	29.816	10.495
22.459	28.229	30.285	10.238
22.488	28.149	31.003	10.531
23.279	28.480	31.777	11.564
21.792	26.067	29.642	9.871
22.002	28.610	31.026	10.840
22.422	28.786	30.115	11.026
24.067	28.702	30.880	11.724
22.291	28.322	30.636	11.188
21.354	27.878	29.740	9.745
20.268	27.404	29.338	9.560
21.882	28.520	30.868	10.321
20.968	28.320	30.811	10.504
22.042	29.056	31.693	10.649
22.245	28.272	31.539	11.436
21.163	27.300	32.094	10.770
22.007	29.420	32.853	11.618
23.300	29.108	31.777	11.285
23.966	29.778	32.488	11.422
22.634	26.952	31.443	10.251
22.124	28.910	32.191	11.141
22.852	29.099	31.189	10.496
20.217	27.744	31.067	9.636
22.371	28.095	31.101	11.207
23.265	27.822	32.089	10.884
20.297	27.503	29.501	9.313
21.766	28.593	30.943	9.972
21.566	28.861	30.879	10.134
21.486	28.048	30.396	9.936
22.301	27.806	30.780	11.106
20.881	28.366	29.847	9.849
21.275	26.064	29.213	9.210
21.927	26.557	29.952	9.674
23.879	28.690	30.682	11.033
20.887	27.967	30.575	9.433
21.630	29.693	31.228	10.788
21.532	27.760	30.722	9.138
21.379	27.957	29.918	9.512
21.738	27.144	31.714	10.322
22.414	27.570	30.777	10.616
22.934	27.727	31.038	10.362
22.423	28.668	32.067	10.291
20.550	27.220	30.047	9.035
21.878	27.852	29.768	9.148
21.152	27.224	29.594	8.778
22.685	29.282	30.788	10.454
22.885	27.701	30.664	10.058
22.005	26.475	30.357	8.892
22.024	27.264	28.722	8.840
20.808	26.680	29.536	9.103
22.162	26.587	29.554	9.022
23.560	29.421	31.946	10.308
22.736	28.210	30.582	10.327
23.272	27.303	31.652	10.119
21.972	27.473	29.677	9.552
23.630	28.531	31.287	10.718
22.397	28.801	31.263	10.013
22.548	27.983	30.477	9.230
22.582	29.571	32.852	10.682
21.567	27.107	30.742	9.610
22.340	28.170	31.320	9.812
22.159	26.763	31.410	9.245
21.565	28.476	30.434	10.109
21.213	27.480	30.621	8.817
23.195	29.458	31.915	9.927
22.066	29.784	32.589	10.319
22.057	28.454	31.376	10.386
21.797	27.398	30.801	8.685
23.538	27.916	30.574	10.030
22.191	29.250	31.901	9.984
21.856	28.997	29.745	9.445
21.465	27.192	30.963	9.250
20.380	26.963	30.561	8.423
22.921	28.504	31.796	10.029
21.998	26.847	28.657	8.167
21.317	27.253	30.042	8.380
20.821	26.957	30.829	8.527
24.015	28.666	31.259	10.174
21.253	27.620	31.657	9.561
20.095	26.753	29.897	8.233
22.276	27.893	30.698	8.944
21.061	28.146	30.137	8.449
21.630	27.454	28.927	8.034
21.224	27.812	30.353	8.252
22.469	28.933	31.918	9.251
21.185	28.032	30.696	8.764
22.625	28.386	30.449	9.493
22.017	29.135	31.815	9.751
21.126	27.856	29.707	7.794
23.052	29.612	32.493	9.944
22.539	29.927	32.413	10.014
20.338	26.783	30.387	8.054
22.673	27.977	31.384	9.946
21.196	28.229	30.098	8.650
20.366	26.872	29.453	8.052
22.048	28.533	30.633	8.630
22.172	28.722	31.528	9.363
22.564	27.866	29.857	8.735
20.817	27.620	28.425	7.606
21.307	27.676	31.794	8.944
22.156	27.614	31.530	8.683
20.288	26.841	30.333	7.823
22.427	28.812	30.771	9.700
20.617	25.760	30.568	7.591
21.981	27.777	30.207	7.953
20.850	28.156	29.630	8.439
22.887	27.872	30.968	8.930
22.027	27.689	29.769	7.549
22.852	29.366	30.827	8.940
22.240	27.100	31.083	8.498
21.580	27.194	29.467	8.450
22.518	29.058	31.105	8.890
21.726	28.208	31.522	9.289
23.541	29.714	32.186	9.360
21.843	28.561	31.505	8.490
21.751	26.941	30.479	8.020
21.448	26.964	28.735	7.291
22.171	27.741	30.912	7.671
21.970	27.616	32.389	9.158
21.011	26.835	29.858	7.950
21.304	26.025	29.824	7.205
22.773	28.534	32.058	9.188
22.309	27.180	30.103	7.761
21.542	27.591	30.417	8.672
19.859	26.369	30.537	7.062
20.832	27.465	29.573	7.973
21.659	27.628	29.969	8.567
21.411	26.643	29.916	7.280
23.599	29.527	31.891	9.156
21.048	27.981	30.324	7.994
21.296	26.558	28.498	6.935
23.607	29.596	31.590	8.904
21.035	26.526	29.762	7.725
21.962	28.271	30.325	7.662
21.127	26.385	28.480	6.894
20.676	27.925	29.280	7.253
21.834	28.262	29.296	7.757
22.391	28.112	31.313	8.360
24.029	28.231	32.133	8.944
22.731	29.839	32.070	8.972
23.632	28.165	30.943	8.845
21.739	28.685	31.035	8.609
23.868	28.674	30.798	8.868
21.965	27.305	30.452	8.027
21.874	28.201	31.219	8.018
22.375	29.562	30.371	8.375
22.558	29.178	32.026	8.349
21.397	26.859	29.987	7.199
22.337	28.009	29.805	8.045
21.940	27.092	30.976	8.009
22.333	27.620	30.588	7.315
20.995	27.258	29.862	6.604
22.811	27.438	30.095	7.442
21.828	27.336	30.716	8.050
22.845	28.661	31.435	8.504
23.475	28.945	31.988	8.319
20.583	27.581	29.292	6.662
21.644	28.430	30.893	8.081
21.071	26.681	28.891	6.478
22.856	27.928	29.701	7.322
21.224	26.673	29.948	6.695
21.371	25.915	28.954	6.309
21.132	27.204	29.972	7.583
20.019	27.458	30.366	6.396
21.854	27.415	30.961	7.145
21.366	27.327	30.831	7.204
22.681	26.845	30.560	7.333
21.600	26.822	29.589	6.919
23.344	27.356	29.951	7.423
21.598	26.338	29.710	6.845
22.013	26.706	30.114	6.041
21.310	27.376	29.425	6.323
22.093	26.884	30.847	6.714
21.539	28.266	30.208	6.768
21.639	28.422	31.719	7.462
21.570	26.350	29.446	6.739
22.248	26.457	30.371	6.340
22.119	27.829	31.132	7.670
23.811	29.420	32.506	8.069
20.086	27.337	29.334	6.159
23.569	29.636	31.017	7.895
22.125	26.470	30.123	6.305
21.816	27.217	29.650	6.376
21.505	26.770	30.119	6.362
21.295	28.084	29.563	6.198
21.742	28.333	30.569	6.402
23.127	29.082	31.289	7.897
21.340	27.741	30.105	6.632
22.784	27.706	30.961	7.041
23.357	28.072	31.191	7.482
21.285	27.545	30.407	7.112
22.320	27.000	29.539	6.100
22.607	27.022	29.919	7.016
22.028	28.406	30.236	7.540
22.758	27.844	29.544	6.685
21.324	28.745	31.100	6.616
22.055	27.144	30.179	6.574
20.838	26.497	29.126	6.370
23.072	29.424	31.814	7.249
22.498	28.782	30.065	6.915
23.428	29.325	30.373	7.322
22.956	27.251	29.445	6.590
22.722	29.648	32.380	7.413
23.818	29.394	30.551	7.492
24.206	27.652	30.770	7.516
22.071	27.137	30.496	6.020
22.221	28.126	31.096	6.804
21.362	26.278	30.155	5.474
22.655	26.896	30.118	6.256
21.974	26.614	30.275	5.923
21.415	27.996	31.045	6.034
21.412	27.867	29.542	5.773
23.863	28.016	31.065	7.437
21.257	28.227	30.388	5.873
21.054	26.060	30.263	5.541
23.484	28.197	31.716	7.230
21.713	27.041	30.071	6.527
20.941	26.823	29.802	5.192
22.418	28.487	29.581	6.378
23.024	27.326	29.281	6.034
22.427	28.172	30.456	6.130
22.603	27.545	30.403	6.899
20.752	27.841	30.302	5.715
23.922	29.415	31.777	7.176
22.059	29.298	32.105	6.792
20.667	26.185	30.251	5.181
22.125	27.608	31.190	6.164
21.660	27.195	30.614	6.108
21.625	27.913	29.748	5.284
21.872	25.742	29.766	5.005
23.078	27.465	29.854	6.519
23.892	28.628	32.075	6.924
21.541	28.058	31.564	6.325
23.340	28.250	31.222	6.792
23.302	28.544	31.295	6.745
21.931	26.756	29.048	4.859
22.699	28.949	31.504	6.720
20.667	26.312	29.874	4.763
21.952	28.073	30.596	6.254
22.777	29.139	30.730	6.331
23.185	27.540	29.922	5.974
22.551	27.742	30.884	5.171
22.734	26.699	30.775	5.417
21.344	27.654	29.948	5.122
19.958	26.887	29.199	4.618
21.534	27.692	29.882	5.381
20.967	26.897	29.191	5.368
22.525	27.343	31.824	6.281
22.533	26.474	29.539	5.405
23.774	29.050	31.640	6.445
20.262	27.759	29.028	4.603
22.039	26.280	30.121	4.879
22.530	29.006	29.970	6.085
21.928	27.727	29.022	4.694
22.719	28.279	31.643	5.760
21.913	26.987	28.126	4.310
23.194	28.584	30.653	5.771
20.863	27.674	30.125	5.239
22.229	28.712	30.488	5.869
21.094	27.488	28.526	4.205
20.829	26.027	30.321	4.482
22.854	26.993	31.144	5.176
23.759	28.620	31.803	6.378
23.206	27.637	30.834	5.982
21.934	27.258	28.367	4.086
23.290	28.703	29.586	5.430
21.186	26.939	30.973	4.795
22.267	27.999	30.277	5.038
21.853	25.606	29.922	4.007
22.839	28.771	31.356	5.907
21.960	27.146	30.205	4.238
24.150	27.722	32.119	6.183
21.954	27.256	29.805	4.490
21.356	26.015	29.883	3.946
21.883	28.168	30.915	5.032
24.034	27.873	30.452	6.081
20.157	26.343	29.713	3.898
22.049	28.897	31.761	5.715
22.754	28.816	30.484	5.481
22.387	26.468	30.413	4.517
22.506	27.144	30.928	5.172
22.461	27.504	28.667	4.091
23.255	28.623	30.666	5.732
22.322	27.389	29.298	4.307
21.879	26.583	30.012	4.117
20.781	26.965	28.100	3.739
21.689	28.165	31.338	5.210
20.972	26.954	28.776	4.363
20.889	27.535	29.220	4.487
23.084	27.538	31.541	5.642
21.843	27.483	28.054	3.574
23.356	27.291	31.738	5.328
22.476	27.618	30.869	5.016
21.332	27.405	29.976	4.299
21.946	27.918	29.672	4.843
21.525	26.808	31.065	4.774
22.369	29.231	31.864	5.637
22.501	27.696	28.601	3.842
23.106	26.982	29.371	4.833
21.577	27.911	28.955	3.692
23.979	29.015	30.176	5.579
21.969	28.232	31.796	5.416
23.659	27.316	30.471	5.126
20.722	25.757	29.115	3.547
21.873	27.996	30.350	3.877
21.820	27.186	29.237	4.148
22.285	26.899	29.002	3.905
21.513	27.168	29.273	4.153
21.767	27.320	30.737	4.806
23.303	28.858	30.782	5.398
23.385	27.266	29.788	4.577
21.478	27.552	30.251	4.593
22.917	28.405	31.043	4.375
21.909	27.864	29.708	4.594
22.477	26.911	29.373	3.976
22.458	26.421	28.536	3.666
21.797	27.100	29.415	3.958
22.274	27.818	31.497	4.547
21.470	27.644	29.092	3.383
22.679	27.296	31.035	4.383
21.577	27.401	29.789	4.262
20.184	26.896	30.025	3.091
22.270	27.820	29.547	4.145
20.050	26.233	29.786	2.930
22.882	28.428	30.924	5.085
23.026	28.345	30.254	4.298
21.518	27.960	29.464	3.580
21.344	26.860	29.102	3.339
20.895	25.900	29.058	3.042
22.076	28.525	30.655	4.451
22.546	27.171	29.488	3.469
22.535	27.740	29.325	3.864
22.652	26.713	30.259	3.528
21.876	27.115	30.852	3.762
21.978	26.907	30.261	3.190
22.670	26.704	30.505	3.172
23.876	28.067	30.459	4.708
22.016	27.745	31.471	4.164
23.131	27.215	29.853	3.570
23.006	28.397	31.911	4.506
22.373	27.107	30.965	4.211
20.447	26.555	28.976	2.876
22.371	27.514	30.030	2.707
21.871	27.802	30.187	3.933
23.085	28.214	31.723	4.643
21.673	28.792	30.707	4.030
20.573	26.029	29.546	2.925
22.438	27.847	30.115	2.810
23.887	28.614	29.812	4.396
21.904	28.073	30.185	2.968
21.639	27.703	29.654	3.257
20.997	27.957	30.532	3.066
20.693	25.783	28.180	2.619
22.222	28.834	30.620	4.539
22.843	27.728	29.981	3.487
22.239	25.907	28.449	2.436
20.903	27.289	28.336	2.524
21.531	26.406	29.814	2.437
22.124	27.700	31.028	3.326
22.059	28.228	30.791	3.368
22.607	27.989	29.908	2.907
22.273	27.470	29.727	3.868
20.034	26.847	28.155	2.108
20.198	26.200	29.462	2.212
22.998	27.283	30.959	3.341
23.277	27.558	30.975	3.642
21.146	27.332	29.002	3.235
21.281	26.997	29.958	2.289
22.421	28.863	29.593	3.756
21.428	28.392	30.710	3.458
21.641	27.547	29.886	3.484
23.363	27.404	30.989	3.645
22.103	28.324	29.648	3.212
23.572	27.424	31.180	3.414
21.758	28.936	30.216	3.588
22.539	28.637	31.870	3.905
22.606	27.611	30.892	3.804
20.459	26.432	28.166	1.841
20.474	25.742	29.421	1.803
21.412	26.876	30.152	2.091
23.274	27.785	31.154	3.861
